GH10J004332	IRF2||GABPA||ELF1||GABPB1||ZBTB40||ZNF318||SPI1||EHMT2||ETV1||IKZF1||ZNF133||CREB1||TARDBP||ATF1||ZNF512||NBN||ETV6||ATF7||CBX5||NR2C1||CC2D1A||PRDM1
GH10J003537	MYC||JUND||ATF2||ZIC2||BHLHE40||FEZF1||ZNF639||ZEB1||ELF1||ZNF843||SIN3A||ZNF146||PRDM6||ZBTB48||TCF7L2||ZBTB1||INSM2||MAFK||ZSCAN23||ZNF24||FOXA1||ZNF362||ZNF518A||ZBTB21||GLIS1||SP7||L3MBTL2||ZFP69B||ARID1B||ZNF561||KLF10||CREB1||RFX5||ZNF366||POLR2A||ZNF324||HSF1||ZEB2||MNT||ATF3||ZNF629||ZNF660||NFE2L2||OSR2||FOS||RNF2||MTA1||GFI1B||ZBTB17||ZNF558||GLIS2||ATF7||BCL11A||EP300||KLF8||ZNF501||TSHZ1||ZBTB20||ZNF335||HIC1||MGA||ZNF184
GH10J004034	L3MBTL2||ZNF687||PKNOX1
GH10J004749	GLIS1||CREB1
GH10J004510	ZNF654||BCL11A||CTCF||RAD21||IRF4||SMC3||ZBTB40||SPI1||IKZF1||ZNF362||MAX||ZNF202||SUZ12||RFX1||IKZF2||DPF2||TRIM22||ETV6||ELF4
GH10J004337	
GH10J003347	POLR2A
GH10J004220	EZH2
GH10J004517	ATF2||CEBPB||EP300||STAT3||JUND||ATF4||ZNF518A||ZBTB21||JUN||ZEB2||ATF3||ZNF692||ZNF660||TRIM24||ATF7||FOS||CEBPG
GH10J003423	JUND||ZNF10||ZIC2||ZNF341||FOXA2||RARA||FOXP1||GLIS1||SP1||GABPB1||PPARG||ZEB2||OSR2||CTBP1||RXRA||EP300||GABPA||NR2F2
GH10J004144	JUND||ATF2||CREB1||ATF3||EGR2||FOS||ATF7||ZFHX2
GH10J003429	FOXA2
