CCNB1IP1	hsa:57820
PTPRE	hsa:5791
NEUROD4	hsa:58158
PVRL1	hsa:5818
PYCR1	hsa:5831
ALDH18A1	hsa:5832
PYGL	hsa:5836
PLEKHB1	hsa:58473
RHOU	hsa:58480
FAM60A	hsa:58516
ABRACL	hsa:58527
RRAGD	hsa:58528
RAB3A	hsa:5864
RAB3IL1	hsa:5866
BCAM	hsa:587
RAB27B	hsa:5874
RAC3	hsa:5881
ACTA2	hsa:59
BCHE	hsa:590
RAP2A	hsa:5911
RARRES2	hsa:5919
RBP1	hsa:5926
EVA1C	hsa:59271
MESDC1	hsa:59274
NTN4	hsa:59277
SIGIRR	hsa:59307
PRDM12	hsa:59335
PLEKHA1	hsa:59338
RBP1	hsa:5947
CCND1	hsa:595
PRPH	hsa:5961
REV3L	hsa:5980
BCL7A	hsa:605
ROBO2	hsa:6092
RPGR	hsa:6103
RPE65	hsa:6121
RPS6KA1	hsa:6195
RPS6KA2	hsa:6196
RRAS	hsa:6237
RRBP1	hsa:6238
S100A4	hsa:6275
MIF	hsa:6279
MIF	hsa:6280
S100B	hsa:6285
MSMO1	hsa:6307
ATXN1	hsa:6310
SCML1	hsa:6322
SCN4B	hsa:6330
SRL	hsa:6345
SDC1	hsa:6382
BCAN	hsa:63827
ABHD4	hsa:63874
NAPB	hsa:63908
FKBP4	hsa:63943
SEC13	hsa:6396
SEMA3F	hsa:6405
PERP	hsa:64065
SMOC1	hsa:64093
SMOC2	hsa:64094
SEPP1	hsa:6414
LEPRE1	hsa:64175
LHX5	hsa:64211
DNAJC1	hsa:64215
SFRP1	hsa:6422
FAM110C	hsa:642273
SFRP2	hsa:6423
SFRP4	hsa:6424
LSS	hsa:64327
HIF3A	hsa:64344
GREM2	hsa:64388
ZFP106	hsa:64397
MPP5	hsa:64398
WIPF3	hsa:644150
INF2	hsa:64423
SGCB	hsa:6443
CSMD1	hsa:64478
SH3GL3	hsa:6457
SHC1	hsa:6464
EBF2	hsa:64641
SHOX2	hsa:6474
CCDC136	hsa:64753
C16orf58	hsa:64755
ATPAF1	hsa:64756
CERK	hsa:64781
AEN	hsa:64782
LMF1	hsa:64788
ST6GAL1	hsa:6480
KLC2	hsa:64837
BCL11B	hsa:64919
NT5DC2	hsa:64943
SLC1A2	hsa:6506
SLC1A3	hsa:6507
RTN4R	hsa:65078
SLC1A5	hsa:6510
SLC1A6	hsa:6511
SLC2A1	hsa:6513
SLC2A3	hsa:6515
ANKRD33B	hsa:651746
BMP4	hsa:652
PCDH15	hsa:65217
ZSWIM4	hsa:65249
WNK2	hsa:65268
SLC6A1	hsa:6529
NET1	hsa:6530
SLC6A6	hsa:6533
SLC6A9	hsa:6536
SLC8A2	hsa:6543
SLC15A2	hsa:6565
VAT1	hsa:6570
SLC25A1	hsa:6576
SNAI2	hsa:6591
GRAMD3	hsa:65983
RASL11B	hsa:65997
SNAP25	hsa:6616
SNCG	hsa:6623
FSCN1	hsa:6624
SNRPA	hsa:6626
SNRPB	hsa:6628
SNTB1	hsa:6641
